Date,Season,Thoubal,Bishnupur,Imphal East,Senapati,Thoubal_Trend,Thoubal_SMA,Thoubal_EWMA,Thoubal_DES,Thoubal_TES,Thoubal_ARIMA,Bishnupur_SMA,Bishnupur_EWMA,Bishnupur_TES,Imphal East_SMA,Imphal East_EWMA,Imphal East_TES,Imphal East_ARIMA,Senapati_SMA,Senapati_EWMA,Senapati_TES
2009-02-28,POMRB,2.01,2.4,3.515,3.375,1.8599999999999999,1.8599999999999994,1.8129541678031131,2.0455151386054538,2.0311241806607896,2.01,2.375,2.3812500319840737,2.4,3.490625000000001,3.4075925225694936,3.5080982029802046,3.9434970549540305,3.2624999999999993,3.2906251439283327,3.375
2009-05-31,PREMON,2.53,,4.2,,1.8599999999999999,1.8599999999999994,2.099772500681868,2.3360954300087897,2.554909716662845,2.53,,,,3.661875000000001,3.7245555135416963,3.548720880190613,3.713312178143243,,,
2009-08-31,MONSOON,1.2,,,,1.9974999999999998,1.8599999999999992,1.7398635004091207,1.9991749611971243,1.2286196930645295,1.2,,,,,,,,,,
2009-11-30,POMKH,1.7,2.35,2.7325,3.15,2.1350000000000002,1.8599999999999992,1.7239181002454727,1.8970039581534057,1.7038417811469735,1.7,2.375,2.3687500191904443,2.35,3.295000000000001,3.3277333081250178,3.884753986540726,2.7381397601038997,3.262499999999999,3.2343750863569998,3.15
2010-02-28,POMRB,3.11,2.4,3.515,3.375,2.135,2.1349999999999993,2.2783508601472837,2.4156459998329383,2.0145339424258384,2.01,2.375,2.3812500115142665,2.4,3.490625000000001,3.4026399848750106,3.1794214341474523,3.990533612028808,3.2624999999999993,3.2906250518142,3.375
2010-05-31,PREMON,2.53,,4.2,,2.1350000000000002,2.1349999999999993,2.3790105160883703,2.609821770242152,2.5963766974787132,2.53,,,,3.661875000000001,3.7215839909250064,3.4663570304609976,4.145700608088316,,,
2010-08-31,MONSOON,1.2,,,,2.1350000000000002,2.1349999999999993,1.907406309653022,2.1800409213483576,1.2671502287858112,1.2,,,,,,,,,,
2010-11-30,POMKH,1.7,2.35,2.29,3.15,2.1350000000000002,2.1349999999999993,1.8244437857918134,1.9980449301519703,1.7664722145054865,1.7,2.375,2.36875000690856,2.35,3.184375000000001,3.1489503945550035,3.657604332315105,2.6858158412786963,3.262499999999999,3.23437503108852,3.15
2011-02-28,POMRB,3.11,2.4,3.515,3.375,2.135,2.1349999999999993,2.338666271475088,2.4423980794137834,3.1177980863736527,3.11,2.375,2.381250004145136,2.4,3.3800000000000012,3.2953702367330022,3.5752042631641316,3.8998203506199407,3.2624999999999993,3.2906250186531123,3.375
2011-05-31,PREMON,2.53,,4.2,,2.1350000000000002,2.1349999999999993,2.415199762885053,2.577252625005076,2.5403055555971488,2.53,,,,3.5512500000000014,3.6572221420398012,3.137465002291369,3.677367528217185,,,
2011-08-31,MONSOON,1.2,,,,2.1350000000000002,2.1349999999999993,1.9291198577310316,2.116178508941451,1.2128770866365457,1.2,,,,,,,,,,
2011-11-30,POMKH,1.7,2.35,2.29,3.15,2.1350000000000002,2.1349999999999993,1.837471914638619,1.922075198354126,1.7154279300888535,1.7,2.375,2.3687500024870816,2.35,3.0737500000000013,3.1103332852238808,3.546905499540344,2.4419235558640753,3.262499999999999,3.234375011191867,3.15
2012-02-29,POMRB,3.11,2.4,3.515,3.375,2.135,2.1349999999999993,2.346483148783171,2.3617763427961997,3.1248978035249966,3.11,2.375,2.3812500014922486,2.4,3.3800000000000017,3.2721999711343286,3.289463173458952,3.8582764744879645,3.2624999999999993,3.2906250067151204,3.375
2012-05-31,PREMON,2.53,,4.2,,2.1350000000000002,2.1349999999999993,2.4198898892699026,2.500409705129056,2.5445078836179666,2.53,,,,3.5512500000000014,3.6433199826805973,3.512061483561307,3.643307063813105,,,
2012-08-31,MONSOON,1.2,,,,2.1350000000000002,2.1349999999999993,1.9319339335619414,2.0515305644645814,1.2142621887523637,1.2,,,,,,,,,,
2012-11-30,POMKH,1.7,2.35,2.29,3.15,2.1350000000000002,2.1349999999999993,1.8391603601371647,1.872474782831695,1.7141598432660348,1.7,2.375,2.368750000895349,2.35,3.0737500000000013,3.1019919896083583,3.279225094995093,2.4588838186354383,3.262499999999999,3.234375004029072,3.15
2013-02-28,POMRB,3.11,2.4,3.515,3.375,2.135,2.1349999999999993,2.3474962160822987,2.3278439893019853,3.12403849569199,3.11,2.375,2.381250000537209,2.4,3.3800000000000017,3.2671951937650148,3.213772951179178,4.221972782341716,3.2624999999999993,3.2906250024174435,3.375
2013-05-31,PREMON,2.53,,4.2,,2.0709375000000003,2.1349999999999993,2.4204977296493793,2.481221476313667,2.5439053930861104,2.53,,,,3.5512500000000014,3.640317116259009,3.2788895015965096,4.0075210435645365,,,
2013-08-31,MONSOON,1.2,,,,2.006875,2.1349999999999993,1.9322986377896274,2.043432586290825,1.2137680335206684,1.2,,,,,,,,,,
2013-11-30,POMKH,1.1875,2.35,2.29,3.15,2.006875,2.0068749999999995,1.6343791826737766,1.671914534314933,1.7136338856525535,1.7,2.375,2.3687500003223256,2.35,3.0737500000000013,3.100190269755405,3.6335855059413995,2.4174597448132173,3.262499999999999,3.234375001450466,3.15
2014-02-28,POMRB,3.11,2.4,3.515,3.375,2.006875,2.0068749999999995,2.224627509604266,2.176629850745555,3.0951085166338697,3.11,2.375,2.381250000193395,2.4,3.3800000000000017,3.266114161853243,2.9980565348273296,3.8416658415828677,3.2624999999999993,3.2906250008702793,3.375
2014-05-31,PREMON,2.53,,4.2,,2.006875,2.0068749999999995,2.346776505762559,2.380589084712165,2.5151313000792155,2.53,,,,3.5512500000000014,3.6396684971119457,3.231369955491199,3.793855903957127,,,
2014-08-31,MONSOON,1.2,,,,1.869375,2.0068749999999995,1.8880659034575353,1.9855168312155702,1.185225361573854,1.2,,,,,,,,,,
2014-11-30,POMKH,1.1875,2.35,2.29,3.15,1.7318749999999998,2.0068749999999995,1.6078395420745213,1.6455868586226934,1.199860161836785,1.1875,2.375,2.3687500001160373,2.35,3.0737500000000013,3.099801098267167,3.4437698270411037,2.3595497805450742,3.262499999999999,3.234375000522167,3.15
2015-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7687037252447126,1.7082724039382595,3.121014991195022,3.11,2.375,2.381250000069622,2.4,3.3800000000000017,3.2658806589603,3.330457444058557,3.7850273379633195,3.2624999999999993,3.2906250003133004,3.375
2015-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.0732222351468277,2.00079436903711,2.4787282268107513,2.53,,,,3.5512500000000014,3.63952839537618,3.057350501222077,3.790473837002538,,,
2015-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.7239333410880966,1.7063154030206664,1.14772024016054,1.2,,,,,,,,,,
2015-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.509360004652858,1.4601142365768176,1.1357973451247858,1.1875,2.375,2.368750000041773,2.35,3.184375000000002,3.276717037225708,3.416727989422015,2.6693792772557954,3.262499999999999,3.2343750001879803,3.15
2016-02-29,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7096160027917147,1.604604776361522,2.0168454738642234,2.01,2.375,2.381250000025064,2.4,3.4906250000000023,3.372030222335425,3.226072394336899,3.934392243443011,3.2624999999999993,3.2906250001127884,3.375
2016-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.037769601675029,1.970125069479678,2.5341977758426353,2.53,,,,3.661875000000002,3.703218133401255,3.415823556174127,3.9611622114227836,,,
2016-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.7026617610050172,1.7237330368560233,1.2014827231754939,1.2,,,,,,,,,,
2016-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.4965970566030105,1.5033885283120065,1.186292015416927,1.1875,2.375,2.3687500000150385,2.35,3.2950000000000026,3.314930880040753,3.3236591446472707,2.7804364689508843,3.262499999999999,3.234375000067673,3.15
2017-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7019582339618062,1.6628500111046625,2.0091845298836315,2.01,2.375,2.381250000009023,2.4,3.4906250000000028,3.3949585280244516,3.305986202542288,3.7554372992604383,3.2624999999999993,3.290625000040604,3.375
2017-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.0331749403770836,2.0367639811610174,2.529438254617363,2.53,,,,3.661875000000003,3.716975116814671,3.3194495418723022,3.915141753047404,,,
2017-08-31,MONSOON,1.2,,,,1.7318749999999998,1.7318749999999994,1.69990496422625,1.7877453845523876,1.1995489121782819,1.2,,,,,,,,,,
2017-11-30,POMKH,1.1875,2.35,2.7325,3.15,1.7318749999999998,1.7318749999999996,1.49494297853575,1.557948540082887,1.187017486276413,1.1875,2.375,2.368750000005414,2.35,3.2950000000000026,3.3231850700888024,3.6378196800610416,2.7287650130100074,3.262499999999999,3.2343750000243623,3.15
2018-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7009657871214499,1.705845953011168,2.009506363410994,2.01,2.375,2.381250000003248,2.4,3.4906250000000028,3.399911042053281,3.2185326553868894,3.7445236840656597,3.2624999999999993,3.290625000014617,3.375
2018-05-31,PREMON,2.53,,4.2,,1.7318749999999998,1.7318749999999996,2.03257947227287,2.0670650848282524,2.5295082883872793,2.53,,,,3.661875000000003,3.7199466252319686,3.3838492591889255,3.787137414313055,,,
2018-08-31,MONSOON,1.2,,,,,1.7318749999999994,1.6995476833637218,1.8064744854437649,1.1995157421318114,1.2,,,,,,,,,,
2018-11-30,POMKH,1.1875,2.35,2.7325,3.15,,1.7318749999999996,1.494728610018233,,1.187021241462948,1.1875,2.375,2.368750000001949,2.35,3.2950000000000026,3.324967975139181,3.54396354701437,2.8533770745190923,3.262499999999999,3.23437500000877,3.15
