Date,Season,Shindkhede,Dhule,Sakri,Shirpur,Shindkhede_Trend,Shindkhede_SMA,Shindkhede_EWMA,Shindkhede_DES,Shindkhede_TES,Shindkhede_ARIMA,Dhule_Trend,Dhule_SMA,Dhule_EWMA,Dhule_DES,Dhule_TES,Dhule_ARIMA,Sakri_Trend,Sakri_SMA,Sakri_EWMA,Sakri_DES,Sakri_TES,Sakri_ARIMA,Shirpur_Trend,Shirpur_SMA,Shirpur_EWMA,Shirpur_DES,Shirpur_TES,Shirpur_ARIMA
2005-08-31,MONSOON,8.263333333333334,8.525,3.085714285714286,12.315999999999999,12.275208333333332,9.34567708333333,9.219648699285994,8.60635867930238,8.186214598968762,9.034697284105846,8.512896062271063,7.963155906593405,8.326538305250882,7.715574748303646,7.2296792623352575,6.720512141704612,4.661250000000001,4.667276785714284,4.561260492820669,4.853967099781941,4.3447538526679805,4.310229491839522,12.313500000000001,11.288999999999998,11.78323115057287,10.965366469112674,10.1318819723283,11.271932842672197
2005-11-30,POMKH,9.1375,7.953571428571428,4.042857142857144,11.75,14.901770833333334,9.623958333333329,9.186789219571596,8.593324671995328,7.710972208587535,9.012310459586965,8.791455357142858,8.3713576007326,8.1773515545791,7.744713647361063,7.111680964347547,7.061268459050911,4.458571428571429,4.77642857142857,4.353899152835258,4.6800749123162495,3.628722539894893,3.6295389899012434,12.703041666666666,12.020999999999997,11.769938690343722,11.097096510333754,10.33861084171236,9.541944496471908
2006-02-28,POMRB,31.22,8.6,4.03,12.815999999999999,14.532916666666667,14.926458333333327,18.000073531742956,14.230107277768198,9.505527413658704,9.015716961952709,8.633524267399267,8.654434523809522,8.34641093274746,7.854269362211958,8.33138723373003,8.596932302113125,4.3655654761904765,4.546071428571428,4.224339491701155,4.525367749548624,4.785256722798442,4.829345476134035,12.210583333333332,12.605999999999998,12.188363214206234,11.377946229509467,11.523718807701346,11.520693887511083
2006-05-31,PREMON,10.8875,10.635333333333334,6.3257142857142865,14.318333333333333,13.666562499999998,14.877083333333326,15.155044119045773,13.1293383508837,9.948493734011766,9.632149690351376,7.96239674908425,8.92847619047619,9.26197989298181,8.214699379265793,10.241217502065606,9.509684901562679,4.289077380952381,4.371071428571428,5.064889409306407,4.810091890230981,6.123230918172717,6.065067570143244,11.152333333333333,12.80008333333333,13.040351261857074,11.853823044491259,13.447878625940795,12.276068323436899
2006-08-31,MONSOON,5.51,6.165384615384616,3.0416666666666665,7.6,10.1753125,14.188749999999992,11.297026471427463,10.954092185551199,8.18621484759948,9.666241599647796,7.399304487179488,8.338572344322344,8.023341781942932,7.945713958765392,8.260815266785988,7.775978675657315,4.265386904761905,4.360059523809523,4.255600312250511,4.46873371591699,3.851178233207931,3.6392690797577125,10.073833333333333,11.621083333333331,10.864210757114243,11.182316989765075,11.565275813686975,11.804987997038197
2006-11-30,POMKH,4.96,4.944166666666667,3.475,8.0,7.2328125,13.144374999999993,8.762215882856477,9.232023453799288,7.710972428880311,9.55469460195574,7.080292582417583,7.586221153846154,6.791671735832426,7.552731623924701,6.920466067531312,5.954967806465604,4.1569642857142854,4.218095238095238,3.9433601873503066,4.246504709045289,3.322131823051345,3.4764287305586348,9.208041666666666,10.683583333333331,9.718526454268545,10.681342869537461,10.332097200685297,7.814073484881092
2007-02-28,POMRB,7.4674999999999985,7.104666666666668,4.408333333333332,7.938,7.305625,7.206249999999994,8.244329529713886,8.621192122494126,9.505527590955685,9.433439090368372,6.982524267399267,7.21238782051282,6.916869708166122,7.492526101017978,7.1242273364206845,6.9019935151156995,3.9674702380952382,4.31267857142857,4.129349445743517,4.222306154595735,4.36999006747527,4.491613222449479,9.303041666666665,9.464083333333331,9.006315872561128,10.25009706539129,10.640651450516307,10.050970324498444
2007-05-31,PREMON,11.1,9.578571428571427,5.080000000000001,12.27,7.651875,7.259374999999994,9.386597717828332,9.105899041931082,9.948493666842532,9.382305578658093,7.192163690476191,6.9481973443223435,7.981550396328244,7.762492899361826,8.93017235373129,8.936729478533378,3.934136904761905,4.001249999999999,4.50960966744611,4.327391905022685,6.038068763474612,6.109999946670384,9.931166666666666,8.951999999999996,10.311789523536678,10.578457462258047,11.629380303840941,10.433931638537535
2007-08-31,MONSOON,5.880000000000001,6.44,2.771428571428572,10.408333333333333,7.999687499999999,7.351874999999994,7.983958630696999,8.123590873906466,8.186214782617347,9.426030512572378,7.315017857142857,7.0168511904761885,7.364930237796947,7.588311322829573,7.041438104475519,6.782081696875966,3.966577380952381,3.9336904761904754,3.8143372290390944,4.006110617182359,3.2832747893969576,3.1349085487238373,10.578500000000002,9.654083333333329,10.35040704745534,10.557646829393866,9.692960615939137,10.079721658725987
2007-11-30,POMKH,7.360000000000001,6.346666666666668,3.4785714285714286,10.216666666666667,7.6609375,7.951874999999994,7.7343751784182,7.787856865474323,7.710972367706303,9.336679204730803,7.20389880952381,7.367476190476188,6.957624809344836,7.424705281824767,6.239666620489826,5.851859967521946,4.076785714285714,3.934583333333333,3.680030908852028,3.853385789955345,2.8780447513252354,3.040162835246817,10.91,10.208249999999996,10.29691089513987,10.509567671676722,9.55577634169924,9.107660782388606
