Date,Season,Parliament Street,Darya Ganj,Chanakya Puri,Connaught Place,Parliament Street_Trend,Parliament Street_SMA,Parliament Street_EWMA,Parliament Street_DES,Parliament Street_TES,Parliament Street_ARIMA,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA,Chanakya Puri_Trend,Chanakya Puri_SMA,Chanakya Puri_EWMA,Chanakya Puri_DES,Chanakya Puri_TES,Chanakya Puri_ARIMA,Connaught Place_Trend,Connaught Place_SMA,Connaught Place_EWMA,Connaught Place_DES,Connaught Place_TES,Connaught Place_ARIMA
2007-11-30,POMKH,12.63,1.04,13.82,3.13,12.774255952380953,12.36678571428571,12.35733799029671,12.412490642743368,11.811916022479089,11.900512506558702,1.865625,2.574999999999998,2.098187849239459,4.418741007687589,4.060860434921219,2.8763975633391783,12.972708333333333,14.299791666666671,14.072555476458684,13.153127413438048,14.170885312763417,14.499518468001053,3.26125,3.29125,3.2062827447000624,3.1061696809414396,3.4176767081384947,3.445
2008-02-29,POMRB,13.41,1.14,9.275,3.39,12.907708333333334,12.676428571428568,12.778402794178026,12.768701253805046,12.536557774570333,12.729456203220812,2.2956250000000002,1.8662499999999982,1.7149127095436754,4.403942470483468,3.8595299790768176,3.024783151924136,13.387708333333332,12.94208333333334,12.153533285875211,8.757825092375464,13.620180274302214,14.317468186126975,3.3362499999999997,3.2375,3.2797696468200375,3.1547535117061125,3.5694745609622767,3.605
2008-05-31,PREMON,13.168333333333335,4.45,16.028333333333332,3.71,12.998333333333335,12.87208333333333,12.93437500984015,12.948080205445084,14.313929609735206,14.07575615954104,3.1287500000000006,1.864999999999998,2.8089476257262054,4.3892203554510125,3.9714874223786065,3.3900399853640315,14.025729166666666,13.003333333333341,13.70345330485846,15.9058277555436,13.947466961690033,12.966536904853724,3.4662499999999996,3.285,3.4518617880920224,3.3136803290607713,3.4907259209550965,3.52
2008-08-31,MONSOON,12.565,4.275,15.964999999999998,3.32,13.005833333333333,12.943333333333332,12.786625005904089,12.894609841457164,12.261998389118231,12.687744601193733,3.879583333333334,2.726249999999998,3.3953685754357235,4.374546157617618,2.010866410028753,0.6315899411564861,15.109895833333331,13.772083333333342,14.608071982915074,18.50232756674964,13.35245781995471,13.786824989864096,3.59875,3.3875,3.399117072855214,3.328648451368747,2.9067588538204983,2.91
2008-11-30,POMKH,13.07,4.260000000000002,15.849166666666665,3.76,13.085,13.053333333333333,12.899975003542455,13.007629512558962,12.44600718271814,12.577575927222693,4.199166666666667,3.5312499999999982,3.741221145261435,4.359921013341312,2.4242135514325556,0.7913898057864405,16.06875,14.279375000000007,15.10450985641571,18.06199098783702,14.170069302487615,14.370381424662428,3.7074999999999996,3.545000000000001,3.543470243713128,3.486990668227095,3.1681209798174197,3.13
2009-02-28,POMRB,13.03,3.9266666666666663,15.91916666666667,3.82,13.40125,12.958333333333332,12.951985002125472,13.07549398250807,13.106213942754646,13.336570634528142,4.1606250000000005,4.2279166666666645,3.815399353823527,4.345342177856354,2.626380883324332,0.867484979419752,16.452604166666664,15.940416666666673,15.430372580516094,16.96565034628629,14.242798429496055,14.766563843265486,3.8850000000000002,3.6525000000000007,3.6540821462278767,3.645127522360544,3.4659182012297434,3.39
2009-05-31,PREMON,14.181666666666667,4.22,17.054999999999996,4.15,13.600624999999999,13.211666666666666,13.44385766794195,13.467266657118119,14.56831594449576,14.272082574938855,4.090833333333333,4.170416666666664,3.977239612294116,4.330814575657676,4.481054379481691,3.3862352266823663,16.794375,16.19708333333334,16.080223548309654,17.449103759919282,16.419381230789927,15.075358495317122,4.01875,3.762500000000001,3.852449287736726,3.889455071384716,3.776399083664155,3.71
2009-08-31,MONSOON,14.081666666666667,4.196666666666666,18.009166666666665,4.3,13.662708333333335,13.590833333333332,13.698981267431837,13.714054420684548,12.768342329028465,13.186671754749568,4.0874999999999995,4.150833333333331,4.0650104340431366,4.316335468205148,3.341565146548084,3.253068672824071,16.96220643939394,16.708125000000003,16.85180079565246,18.54919772241836,15.380517693770175,15.605725675766715,4.05375,4.007500000000001,4.0314695726420355,4.145518837506332,3.378903970752469,3.32
2009-11-30,POMKH,13.148333333333332,3.78,16.539166666666667,3.85,13.892113095238095,13.610416666666664,13.478722093792435,13.609656271665456,13.287761230635827,13.450980026991143,4.154999999999999,4.030833333333331,3.9510062604258818,4.301901504661988,3.488184168465172,3.2416543967790754,17.463503787878786,16.880625000000002,16.72674714405814,16.958096000897136,16.203075782420807,16.24963328161618,4.08375,4.030000000000001,3.9588817435852213,4.197552978849044,3.833035996599316,3.76
2010-02-28,POMRB,13.448333333333332,4.38,16.57181818181818,4.01,13.403080357142855,13.714999999999996,13.466566589608794,13.625507523498648,13.694525187432262,13.907587723349854,4.10375,4.144166666666664,4.122603756255529,4.287520774725625,3.361487492817891,2.988003818001369,17.86582386363636,17.043787878787878,16.664775559162155,16.308238421255737,15.863350096772356,16.327202379208853,4.0287500000000005,4.077500000000001,3.9793290461511326,4.26732093307728,3.892422843808642,3.82
2010-05-31,PREMON,15.598571428571427,4.306666666666667,20.41272727272727,4.2,12.208642857142856,14.069226190476188,14.319368525193848,14.278693595830976,15.100197389101899,14.797271170528266,4.1241666666666665,4.165833333333332,4.196228920419984,4.273187642065395,4.467023912491596,3.211216327325749,17.488844696969693,17.883219696969697,18.1639562445882,20.875412256999947,17.742678132690028,16.392737574958403,3.961875,4.09,4.0675974276906794,4.3668649517255185,4.211879695411644,4.15
2010-08-31,MONSOON,8.7525,3.7,17.869999999999994,3.81,11.165872023809522,12.736934523809524,12.092621115116309,12.695911536859116,13.59403659067222,14.063617589090574,4.243541666666666,4.041666666666665,3.997737352251991,4.258897624021525,3.8670941725888377,3.19346078681131,16.94628409090909,17.848428030303026,18.046373746752916,19.165475149293304,17.328614706718074,17.46973590844385,3.944375,3.9674999999999994,3.9645584566144074,4.298475260545463,4.286851472640403,4.3
2010-11-30,POMKH,8.922,4.44,13.662499999999998,3.805,9.994071428571429,11.68035119047619,10.824372669069785,11.628860261854165,12.070145455403651,12.195191292432877,4.465833333333333,4.206666666666665,4.174642411351195,4.2446614920291506,3.6958165352567307,2.8763975633391783,16.23021590909091,17.12926136363636,16.29282424805175,13.575571856900602,17.510146885820134,17.576970949319527,3.929375,3.9562499999999994,3.9007350739686446,4.212054034340478,3.8574659447674096,3.85
