Date,Season,Bijapur,Asur,Bhopal Patnam,Bheramgarh,Bijapur_Trend,Bijapur_SMA,Bijapur_EWMA,Bijapur_DES,Bijapur_TES,Bijapur_ARIMA,Asur_Trend,Asur_SMA,Asur_EWMA,Asur_DES,Asur_TES,Asur_ARIMA,Bhopal Patnam_Trend,Bhopal Patnam_SMA,Bhopal Patnam_EWMA,Bhopal Patnam_DES,Bhopal Patnam_TES,Bhopal Patnam_ARIMA,Bheramgarh_Trend,Bheramgarh_SMA,Bheramgarh_EWMA,Bheramgarh_DES,Bheramgarh_TES,Bheramgarh_ARIMA
2006-05-31,PREMON,8.818888888888889,6.030000000000001,7.842142857142856,7.538095238095237,8.127361111111112,7.768124999999998,8.283401983020429,8.656876251651488,9.80197487834294,8.427422664397092,3.4965625000000005,3.4965624999999996,4.457799913128136,5.198846675926693,6.021701730649727,6.030286787353859,4.657869047619048,4.657869047619046,5.81606795893323,6.652802058327885,8.018489175190885,7.882776644738543,4.2208097718253965,4.220809771825394,5.4754194465899575,4.952586262015424,7.481782919839334,7.4924444685537575
2006-08-31,MONSOON,9.475555555555557,1.3166666666666669,2.178333333333333,1.5855952380952378,8.040694444444444,8.098888888888887,8.76026341203448,8.857027938392632,8.61617717860795,8.401991213006387,3.4965625000000005,3.4965624999999996,3.2013466145435485,3.5354701881602355,1.3006203851364857,1.3165447919594133,4.657869047619048,4.657869047619046,4.360974108693271,4.746467592240535,1.9691165620292779,2.0717565197582695,4.2208097718253965,4.220809771825394,3.9194897631920695,4.449379562446439,1.5540891099762582,1.4983424709892437
2006-11-30,POMKH,5.791111111111111,2.4916666666666667,3.426,2.827777777777777,8.168771367521368,8.155833333333332,7.572602491665132,8.327275934901945,7.195709230904593,7.9969006804503495,3.4965625000000005,3.4965624999999996,2.9174746353927956,2.9102409424496134,2.4922470999630923,2.4917184592023847,4.657869047619047,4.657869047619046,3.9869844652159627,3.965134494482937,3.456893109938294,3.435868478147156,4.2208097718253965,4.220809771825394,3.4828049690263523,4.175928857074924,2.827343071356851,2.852348587851064
2007-02-28,POMRB,7.616666666666667,4.147916666666667,5.1850000000000005,4.931770833333333,8.343792735042737,7.925555555555555,7.590228161665746,8.237904195695013,7.874371627554939,7.985041735298945,3.4965625000000005,3.4965624999999996,3.4096514479023443,3.4687058431972897,4.20645829834384,4.147894656630158,4.657869047619048,4.657869047619046,4.4661906791295785,4.46905475408509,5.236528377201848,5.2018105333794225,4.2208097718253965,4.220809771825394,4.062391314749144,4.282023025027612,4.978092306479814,5.007409972064132
2007-05-31,PREMON,10.764615384615384,6.030000000000001,7.842142857142856,7.538095238095237,8.351595765345765,8.411987179487177,8.859983050845601,8.757227362574445,9.440037744360357,8.145789809270479,3.4965625000000005,3.4965624999999996,4.457790868741407,5.198358071471151,6.021701730641544,6.030009353504331,4.657869047619048,4.657869047619046,5.816571550334889,6.662870499499088,7.940273353199787,7.87928378089742,4.2208097718253965,4.220809771825394,5.4526728840875816,4.852131152934629,7.483877449629269,7.409441821448622
2007-08-31,MONSOON,8.93,1.3166666666666669,2.178333333333333,1.5855952380952378,8.289941724941725,8.275598290598287,8.887989830507362,8.836372337313373,9.033043897340939,9.488208051397613,3.4965625000000005,3.4965624999999996,3.201341187911511,3.534997638317709,1.3006203851283225,1.3166626917508044,4.657869047619048,4.657869047619046,4.361276263534267,4.757234284291091,2.0866003888627276,2.0807966786609273,4.2208097718253965,4.220809771825394,3.905841825690644,4.352899959469309,1.556181849714719,1.5740456938892498
2007-11-30,POMKH,6.3990909090909085,2.4916666666666667,3.426,2.827777777777777,7.961826923076923,8.427593240093236,7.892430261940781,8.424801484566931,7.287772037322232,7.613000637760429,3.4965625000000005,3.4965624999999996,2.9174713794135734,2.909877049244258,2.49224709995493,2.491668355868441,4.657869047619047,4.657869047619046,3.9871657581205597,3.9739703670241147,3.4398762742496203,3.4350026770031654,4.2208097718253965,4.220809771825394,3.4746162065254973,4.085554151939899,2.8294340210190487,2.7975332649216686
2008-02-29,POMRB,6.5154545454545465,4.147916666666667,5.1850000000000005,4.931770833333333,7.930227272727272,8.152290209790205,7.341639975346287,8.11038105258071,8.140549125352198,8.304769552629828,3.4965625000000005,3.4965624999999996,3.409649494314811,3.468467580882368,4.2064582983356775,4.147915948814331,4.657869047619048,4.657869047619046,4.4662994548723365,4.475280553235081,5.210633727399175,5.200475912401081,4.2208097718253965,4.220809771825394,4.057478057248632,4.198757757487558,4.980181466042331,5.042247888810554
2008-05-31,PREMON,9.24090909090909,6.030000000000001,7.842142857142856,7.538095238095237,8.230204545454544,7.771363636363633,8.101347621571408,8.366303519452835,9.244740575702929,8.046586693675604,3.4965625000000005,3.4965624999999996,4.457789696588887,5.198259777149841,6.021701730633382,6.030000305062418,4.657869047619048,4.657869047619046,5.816636815780544,6.666073885731689,7.8952481347971615,7.876372575763314,4.2208097718253965,4.220809771825394,5.4497249295872745,4.776504178152732,7.485964819070059,7.3880396366163
2008-08-31,MONSOON,10.20090909090909,1.3166666666666669,2.178333333333333,1.5855952380952378,8.363830808080806,8.089090909090904,8.94117220930648,8.756076019996117,8.389427427679074,8.796256054358857,3.4965625000000005,3.4965624999999996,3.201340484619999,3.5349850483426573,1.30062038512016,1.3166665370256898,4.657869047619048,4.657869047619046,4.36131542280166,4.758307394297024,2.1385977321378444,2.0884303250092184,4.2208097718253965,4.220809771825394,3.9040730529904595,4.285794392183187,1.5582674290131107,1.5998547375903056
2008-11-30,POMKH,7.528,2.4916666666666667,3.426,2.827777777777777,8.461229797979797,8.371318181818177,8.375903325583888,8.571615337245975,7.290280879460647,8.097761474020745,3.4965625000000005,3.4965624999999996,2.917470957438666,2.909907664502146,2.4922470999467685,2.4916667217595982,4.657869047619047,4.657869047619046,3.9871892536809956,3.973791261232773,3.4323197613729124,3.4342775683154074,4.2208097718253965,4.220809771825394,3.4735549429053867,4.027272883852881,2.831517810155738,2.7809966421421715
2009-02-28,POMRB,6.455555555555555,4.147916666666667,5.1850000000000005,4.931770833333333,8.366627525252525,8.35634343434343,7.607764217572555,8.219079294349289,8.523202128108135,8.66423021246823,3.4965625000000005,3.4965624999999996,3.4096492411298662,3.4685215821468764,4.206458298327515,4.147916643254076,4.657869047619048,4.657869047619046,4.4663135522085975,4.474357251228974,5.197571087814214,5.199337882046588,4.2208097718253965,4.220809771825394,4.056841299076565,4.149274761795915,4.982263464999382,5.0486878906058585
2009-05-31,PREMON,10.08,6.030000000000001,7.842142857142856,7.538095238095237,7.595888888888889,8.566116161616156,8.596658530543532,8.613019547455991,9.478038537091145,8.232796372753818,3.4965625000000005,3.4965624999999996,4.4577895446779205,5.198327541812245,6.02170173062522,6.030000009949543,4.657869047619048,4.657869047619046,5.816645274182301,6.664625105602085,7.8704308986246705,7.873884419781546,4.2208097718253965,4.220809771825394,5.449342874684033,4.735952219738226,7.488045027830905,7.387910271104326
