Date,Season,Kalol,Gandhinagar,Mansa,Dehgam,Kalol_Trend,Kalol_SMA,Kalol_EWMA,Kalol_DES,Kalol_TES,Kalol_ARIMA,Gandhinagar_Trend,Gandhinagar_SMA,Gandhinagar_EWMA,Gandhinagar_DES,Gandhinagar_TES,Gandhinagar_ARIMA,Mansa_Trend,Mansa_SMA,Mansa_EWMA,Mansa_DES,Mansa_TES,Mansa_ARIMA,Dehgam_Trend,Dehgam_SMA,Dehgam_EWMA,Dehgam_DES,Dehgam_TES,Dehgam_ARIMA
2007-11-30,POMKH,54.3775,58.57399999999999,80.74166666666667,37.85,58.070375,52.79737499999997,53.691150162433345,63.65537155129014,55.7061231564161,50.22162768723472,58.57391666666666,56.792249999999996,56.34586441417845,58.30975542648708,69.50693268897139,46.275134073976844,58.31666666666667,40.95208333333333,53.50114029671268,79.64652266239496,35.92168772259797,32.816445956315555,43.370000000000005,42.91,42.018153039691434,31.796824479052816,28.094333592035348,23.630554186107833
2008-02-29,POMRB,65.85,70.80666666666666,66.16833333333334,38.87,56.79843749999999,57.668874999999964,58.55469009746001,70.97029714353405,53.34374558843916,58.33624994004484,59.72054166666666,58.77591666666666,62.13018531517373,83.25271632764061,56.326015685037326,54.85100393477813,65.98458333333335,55.75666666666666,58.56801751136094,86.33495212316693,52.180512601343,51.04943147541121,39.67375,43.54125,40.75889182381486,31.874485669967623,32.40166772111235,10.23027598398248
2008-05-31,PREMON,49.81,59.852,49.21,36.365,56.3440625,58.47187499999997,55.05681405847601,55.19878206783767,59.79228558857498,55.86552809851028,61.29691666666667,58.37191666666665,61.21891118910423,65.24599183281414,68.59988532229058,57.624756747344016,76.66604166666667,60.87666666666666,54.82481050681656,79.57657705007861,62.22678361360827,59.60548032669339,35.563125,43.198750000000004,39.00133509428891,31.95233045469074,34.82462565498869,20.605042181229145
2008-08-31,MONSOON,50.4625,55.044,88.25,31.51,54.175625,55.124999999999964,53.2190884350856,48.345241760492,48.52031860945816,58.17900677556747,59.937583333333336,61.069166666666646,58.74894671346254,51.99067548221149,51.92905964493954,53.21510011438825,81.90729166666667,71.0925,68.19488630408995,96.56360925815548,68.82438806077765,55.388098388113555,34.29625,36.14875,36.00480105657335,32.03035377884029,32.40168842181975,11.338607713138199
2008-11-30,POMKH,64.13000000000001,60.396,125.33,33.165,52.976875,57.56312499999997,57.583453061051365,61.210083174327195,57.572432730937436,48.05377215142025,58.6575,61.524666666666654,59.40776802807752,58.66506618886506,66.86220749350036,53.25757156769044,80.93171078431372,82.23958333333333,91.04893178245396,128.8536549329841,70.38505165153597,75.10749378624378,33.454375,34.9775,34.86888063394401,32.10857132036499,28.438302477243134,14.512443929014621
2009-02-28,POMRB,38.75,58.11,63.51,33.42,57.496145833333344,50.78812499999997,50.05007183663082,41.91901348639787,56.62820533167991,52.79945342284316,60.045500000000004,58.35049999999998,58.88866081684651,57.92160375100307,69.44033225783703,55.73575128169676,87.07998406862744,81.57499999999999,80.03335906947238,112.86536159483822,91.22533414171879,86.08477375273273,34.240625,33.614999999999995,34.289328380366406,32.186980275138446,32.74563660597757,13.41970699212901
2009-05-31,PREMON,67.32000000000001,62.30799999999999,44.06368627450981,35.08,56.42958333333333,55.16562499999998,56.9580431019785,64.54940500957332,57.61279830713942,53.57092682884503,55.119499999999995,58.96449999999998,60.2563964901079,63.944907176335484,61.79378480584988,54.36000980021078,92.61779656862743,80.28842156862744,65.64548995148735,89.81835148252684,82.40130256974277,78.21407501841249,35.543749999999996,33.29374999999999,34.60559702821985,32.26558439977164,35.16859453945926,14.389345401290967
2009-08-31,MONSOON,69.10666666666667,63.69199999999999,142.58249999999995,39.085,57.38041666666666,59.82666666666665,61.817492527853766,77.119065548627,49.88153326440421,46.26471067094454,51.00982142857143,61.12649999999998,61.63063789406474,66.24037646116115,53.31290942927953,57.005241032399574,98.43404656862745,93.87154656862742,96.4202939708924,130.052344307777,77.54145791422019,81.25601583831815,36.274375,35.18749999999999,36.397358216931906,32.34438966094989,32.74565730617936,14.886030693773623
2009-11-30,POMKH,36.95333333333333,12.34,115.3,36.015,60.39645833333334,53.032499999999985,51.871828850045596,46.58077340260274,62.04158924234753,65.23273633793882,54.119684523809525,49.11249999999997,41.914382736438846,12.131092482529711,63.92241121761178,57.22593819761322,118.63358578431371,91.36404656862743,103.97217638253545,139.68027588159876,99.74269347087838,123.39348942262536,37.533125,35.9,36.244414930159145,32.42337998407776,28.782271362095294,17.410111320143905
2010-02-28,POMRB,73.53333333333333,73.28857142857143,120.07,36.415,58.78458333333333,61.728333333333325,60.53643064336069,70.96679109971392,55.40658758353614,56.20791634054597,54.77280952380953,52.907142857142816,54.46405821329188,128.15591305121862,51.8807449510673,35.51760293258319,130.1528125,105.50404656862743,110.41130582952127,146.96845983713072,102.76042221275291,106.20965501056128,38.284375,36.64874999999999,36.31264895809549,32.50256394521443,33.08960549100044,13.385412366791886
