Date,Season,Shahpur,Shorapur,Yadgir,Shahpur_Trend,Shahpur_SMA,Shahpur_EWMA,Shahpur_DES,Shahpur_TES,Shahpur_ARIMA,Shorapur_Trend,Shorapur_SMA,Shorapur_EWMA,Shorapur_DES,Shorapur_TES,Shorapur_ARIMA,Yadgir_Trend,Yadgir_SMA,Yadgir_EWMA,Yadgir_DES,Yadgir_TES,Yadgir_ARIMA
2003-11-30,POMKH,6.074166666666668,4.133636363636363,8.4675,6.10564713064713,5.918551587301587,5.9025404691266985,5.915902538632769,4.952960254971162,5.3427897374975934,4.226687937062936,4.135230519480518,4.205798987075655,4.136101639920725,3.521268631545245,3.4746233945388965,9.799309895833334,8.890390624999998,8.621141735969443,8.21020912710024,7.172274952765161,6.564435586945871
2004-02-29,POMRB,5.908571428571428,4.034999999999998,10.588333333333333,6.19016826923077,5.967837301587301,5.90495285290459,5.9239356800040825,5.926367240350738,5.957274758130295,4.126046328671328,4.23415909090909,4.1374793922453925,4.12307295465951,4.085435762410304,4.322531707222485,10.212916666666665,9.59278645833333,9.408018374914999,8.653779161235029,9.111581677477243,8.324534115166918
2004-05-31,PREMON,7.356923076923076,4.069230769230769,12.2125,6.080733745421245,6.24345695970696,6.485740942511985,6.540984102032866,7.573478631485795,6.229949928819657,3.9866520979020965,4.219216783216783,4.110179943039544,4.115738791977584,5.343261875523547,5.166070032909945,10.6059375,10.005833333333332,10.529811024949,9.318033984877953,11.75482461726886,11.286941219609226
2004-08-31,MONSOON,5.207857142857144,3.893636363636362,10.411666666666667,6.012651098901099,6.136879578754579,5.974587422650048,6.151343718244785,5.381187933759476,6.024092659325111,4.011856893106892,4.032875874125874,4.023562511278271,4.08212907383877,4.102383047058719,3.9419454421068405,10.624083333333333,10.419999999999998,10.482553281636067,9.521288893310935,9.954125663338495,9.170018405988081
2004-11-30,POMKH,5.625000000000001,3.7638461538461536,9.955,5.94904532967033,6.024587912087912,5.8347524535900295,5.964322494608442,5.156959678452301,5.785471675532259,4.193917332667332,3.940428321678321,3.919675968305424,4.030790220720628,3.4669526548777663,3.3364674614901446,10.440979166666668,10.791874999999997,10.271531968981641,9.601127504606271,8.956045090070692,8.488148226961542
2005-02-28,POMRB,5.813076923076924,4.606428571428571,9.246,5.956201923076924,6.000714285714286,5.826082241384787,5.8810019728785825,5.943623879604171,5.6202670228439064,4.259671578421578,4.083285464535464,4.1943770095546835,4.110385009329206,4.0098381319508025,4.1415842348077,10.458583333333332,10.456291666666665,9.861319181388986,9.533461691970565,10.757609140512844,10.217045994963655
2005-05-31,PREMON,6.943571428571429,4.954285714285715,12.09,6.025538836163837,5.897376373626376,6.273077916259444,6.2899549166586874,7.5584992697989195,7.177102651763946,4.196188186813187,4.304549200799201,4.498340491447096,4.239407238497117,5.311312144566483,5.167157886606234,9.816375,10.425666666666666,10.752791508833392,10.01021647134383,12.011495688793962,11.079313557390268
2005-08-31,MONSOON,5.678461538461539,3.534615384615385,10.675,5.9613474025974025,6.015027472527475,6.035231365140282,6.10963391489869,5.252312350702529,4.971084638240175,4.296278846153847,4.214793956043957,4.112850448714411,4.145808823120427,4.132293759813271,4.235407117655381,9.111,10.4915,10.721674905300034,10.133195639867491,10.034511544551737,9.756501619497316
2005-11-30,POMKH,5.709090909090909,3.615,4.5539999999999985,5.857448176823177,6.0360501998002025,5.904775182720533,5.956506529447187,5.199477806408072,5.730140138581542,4.268303196803197,4.177582417582419,3.913710269228647,4.068412003930527,3.470626329091384,3.2850882082745336,8.890333333333333,9.14125,8.25460494318002,9.08868425077113,9.121487371534714,9.573836371259324
2006-02-28,POMRB,5.215454545454545,5.556,9.004,5.63458041958042,5.886644605394608,5.629046927814137,5.626564418698032,5.998027830587779,5.751553517069402,4.0545541958041955,4.414975274725277,4.570626161537188,4.2901930309464475,4.003222933615124,4.167037181978973,8.865854166666665,9.080749999999998,8.554362965908012,9.071652383382593,8.335086751467175,7.206601862415491
