Date,Season,Kharar,Dera Bassi,Majari,Kharar_Trend,Kharar_SMA,Kharar_EWMA,Kharar_DES,Kharar_TES,Kharar_ARIMA,Dera Bassi_Trend,Dera Bassi_SMA,Dera Bassi_EWMA,Dera Bassi_DES,Dera Bassi_TES,Dera Bassi_ARIMA,Majari_Trend,Majari_SMA,Majari_EWMA,Majari_DES,Majari_TES,Majari_ARIMA
2008-02-29,POMRB,6.44,9.87,20.159000000000002,6.078229166666667,6.180000000000006,6.252214370982167,6.63964514013981,6.339021744044796,6.3648041339159676,11.04775,9.774500000000002,9.499149824020455,8.938520288025192,9.015157471649285,8.285074525098151,17.970255952380953,17.97025595238096,19.128576352731116,16.918795563133003,19.969441980342808,19.257630753418482
2008-05-31,PREMON,6.665,12.648,15.297857142857142,5.8734375,6.202500000000006,6.4173286225893005,6.718774368427743,7.304855898482226,7.217475732845415,11.241437499999998,11.139000000000003,10.758689894412274,9.838849636783806,9.231939508564052,8.673295844546166,17.970255952380953,17.97025595238096,17.596288668781526,16.90981700944401,15.753495904523264,15.859288557479621
2008-08-31,MONSOON,4.863333333333333,11.91,15.006666666666668,5.7683333333333335,5.95395833333334,5.795730506886914,6.275526358543748,6.213868448423348,6.313800762549775,11.955749999999998,10.956500000000002,11.219213936647364,10.40724157676139,9.315259502445482,9.884967255261703,17.970255952380953,17.97025595238096,16.56043986793558,16.873602343824736,15.50337229929413,14.656970651941927
2008-11-30,POMKH,5.203333333333333,11.6775,21.4175,5.754791666666666,5.792916666666673,5.558771637465481,6.04536584041392,5.613974315807504,4.92657581844203,12.602041666666668,11.526375000000002,11.402528361988418,10.815105313853712,11.475327728065803,10.180725641061652,17.970255952380953,17.97025595238096,18.50326392076135,17.287742857925952,21.955320740048087,21.63531343104321
2009-02-28,POMRB,6.243333333333332,13.305,20.159000000000002,6.013333333333333,5.743750000000006,5.832596315812622,6.166064696096118,5.940853566327122,5.701258859879266,12.626958333333333,12.385125000000002,12.163517017193051,11.484686779194549,11.209031994729362,10.446069860923101,17.970255952380953,17.97025595238096,19.16555835245681,17.605708738007035,20.53509611085138,20.023331623052215
2009-05-31,PREMON,6.753333333333333,14.383333333333333,15.297857142857142,6.223333333333334,5.765833333333339,6.200891122820906,6.3963771060849695,6.797126761796913,6.436406775656089,12.143020833333335,12.818958333333335,13.051443543649164,12.249202727728957,11.717558455414894,11.262250113373378,17.970255952380953,17.97025595238096,17.618477868616942,17.56967724806747,15.729599370494702,15.382360235322526
2009-08-31,MONSOON,6.843333333333334,10.374,15.006666666666668,6.221041666666666,6.2608333333333395,6.457868007025877,6.590154810234028,5.734048595426331,5.6809559491068775,11.418458333333332,12.434958333333334,11.980466126189498,12.02131004230852,11.624513006760747,12.048976497422943,17.970255952380953,17.97025595238096,16.57375338783683,17.505133845929137,15.448641312430098,14.954032642461002
2009-11-30,POMKH,4.903333333333333,9.342,21.4175,6.472333333333333,6.185833333333339,5.836054137548859,6.192420445879103,6.169924245510565,6.4004178057244925,10.489666666666666,11.851083333333333,10.9250796757137,11.621422419164363,12.8806989990931,11.11446167349162,17.970255952380953,17.97025595238096,18.511252032702096,17.890059535041214,21.873159974969237,21.45028389492334
2010-02-28,POMRB,6.525,9.844,20.159000000000002,6.747166666666667,6.256250000000007,6.111632482529316,6.352164616567507,6.383647906652378,5.802971817426656,9.567166666666667,10.985833333333334,10.49264780542822,11.405561203503067,11.735057580197996,10.605017762529386,17.970255952380953,17.97025595238096,19.17035121962126,18.177993993110185,20.594051907077002,20.13858005714811
2010-05-31,PREMON,8.482000000000001,10.414000000000001,15.297857142857142,6.836749999999999,6.688416666666673,7.05977948951759,7.013638281717374,7.1043957395729835,6.664628676455715,9.397041666666667,9.993500000000001,10.461188683256932,11.351848448858663,11.306376237464232,10.527418758679184,17.970255952380953,17.97025595238096,17.621353588915614,18.11121113222439,15.736572419580753,15.310576011894804
